french,portuguese
point,apontar
tellement,tal
main,mão
tiens,segurar
sois,ser
enfant,criança
vieux,velho
matin,Manhã
venu,veio
pardon,perdão
là-bas,lá
suite,seguindo
vers,em direção a
minutes,minutos
demandé,solicitar
venez,vir
devant,na frente
dr,Dr.
enfin,Finalmente
arrêter,Parar
cause,causa
nouvelle,novo
attendez,espere
chambre,quarto
droit,certo
parti,festa
mis,colocar
eau,água
compte,conta
dirait,diria
terre,terra
belle,lindo
espère,ter esperança
aimerais,gostaria
loin,distante
as-tu,você tem
mari,marido
donne,dado
fin,FIM
croire,acreditar
mme,senhora
aura,terá
gros,gordo
boulot,trabalho
plutôt,em vez de
chérie,Querido
prêt,preparar
filles,garotas
bureau,mesa
mourir,morrer
hier,ontem
possible,possível
jouer,jogar
demander,perguntar
celui,aquele
voulait,desejado
beau,lindo
jeune,jovem
euh,uh
dehors,fora
docteur,doutor
a-t-il,ele fez
confiance,confiar
appeler,ligar
années,anos
vérité,verdade
école,escola
chef,chefe
femmes,mulheres
propos,sobre
semaine,semana
vivre,ao vivo
regardez,olhar
feu,fogo
journée,dia
madame,Sra.
hey,ei
téléphone,telefone
près,fechar
affaires,negócios
meilleur,melhor
devez,deve
dessus,acima
mains,mãos
penses,pensar
prie,rezar
équipe,equipe
vas-y,vá em frente
grande,grande
manger,comer
arriver,chegar
dur,duro
guerre,guerra
ait,ter
appelé,chamado
marche,andar
sécurité,segurança
garçon,garoto
essaie,tentar
important,importante
dites,dizer
exactement,Exatamente
font,fazer
fort,forte
presque,quase
plein,completo
derrière,atrás
ben,bem
mariage,casado
parents,pais
capitaine,capitão
dernier,durar
fou,louco
ceux,aqueles
tomber,cair
attendre,esperar por
vue,visualizar
pensé,pensar
souviens,lembrar
envie,inveja
fête,festa
jeu,jogo
génial,incrível
pays,país
garde,guarda
cours,curso
bientôt,Breve
ii,eu
numéro,número
personnes,pessoas
